Decision Tree,,,
Training Size,300,200,100
Training Time,0,0.002,0.001
Prediction Time,0,0,0
F1 Score Training,1,1,1
F1 Score Test,0.627,0.734,0.614
,,,
Naïve Bayes-Gaussian,,,
Training Size,300,200,100
Training Time,0.002,0.001,0.001
Prediction Time,0.001,0,0
F1 Score Training,0.804,0.841,0.847
F1 Score Test,0.763,0.724,0.803
,,,
SVM,,,
Training Size,300,200,100
Training Time,0.019,0,0
Prediction Time,0,0,0
F1 Score Training,0.876,0.868,0.878
F1 Score Test,0.784,0.781,0.775
,,,
,,,
,,,
,,,
,,,
,,,
